20000022, stud, 19, 2001, 2
29999984, stu, 18, 2002, 3
40000009, st, 17, 2003, 2
10000000, student, 25, 1995, 1
49999966, studentfive, 25, 1995, 1
39999987, studentfour, 25, 1995, 1
19997639, student, 25, 1995, 1
11401830,  Homer          Simpson  , 50 ,1970, 3
12345678,   Leonardo    da    Vinci   ,  25 , 1995 , 3
30000003, studentthree, 25, 1995, 1
49999996, s, 16, 2004, 4
50000000, s AAA, 16, 2004, 4
33401550, Dora the Explorer, 19, 2000, 2
11401830,  Homer          Simpson  , 50 ,1970, 3
12345678,   Leonardo    da    Vinci   ,  25 , 1995 , 3
27804448  ,             Aviv     Censo    r       , 20, 2000, 15
49999997, studentsix, 26, 1994, 4
20000000, student, 120, 1900, 1
50000000, studentfive, 16, 2004, 1
50003528, s AAA, 16, 2004, 4
30001248, stu, 18, 2002, 5
40004569, st, 17, 2003, 100000000
20010230, stud, 19, 2001, 2
30000004, stu, 18, 2000, 3
42342340, st, 17, 2003, 2
00000000, stu, 18, 2002, 3
01001004, st, 17, 2003, 2
10012488, stude, 20, 2000, 0
